,OPEID,INSTNM,CITY,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,region,ADM_RATE,UGDS,CURROPER,NPT4_PUB,NPT4_PRIV,COSTT4_A,COSTT4_P,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,C150_4,C150_L4,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,COMP_ORIG_YR4_RT,WDRAW_ORIG_YR4_RT,ENRL_ORIG_YR4_RT,DEBT_MDN,Year,NetPrice,Cost
0,02295000,Everest College-Phoenix,Phoenix,2,1,3,3,6.0,0.4465,5662.0,False,,,29445.0,,19476.0,7148.0,3589.0,0.75,0.4075,,0.4333,,0.0,,0.8226,,0.321678321678,0.294342021615,0.012078830261,9495.0,2010,,29445.0
1,01293700,Empire Beauty School-Paradise Valley,Phoenix,1,1,1,3,6.0,,86.0,False,,,,34124.0,8740.0,10208.0,,,,0.48,,0.6087,,0.25,0.9884,,0.435897435897,0.25641025641,0.0,10556.0,2010,,34124.0
2,00886500,Empire Beauty School-Tucson,Tucson,2,1,1,3,6.0,,149.0,False,,,,35121.0,9033.0,7898.0,,,,0.7025,,0.5,,0.7619,0.9590000000000001,,0.653958944282,0.196480938416,,9864.5,2010,,35121.0
3,00107000,Thunderbird School of Global Management,Glendale,1,1,4,2,6.0,,2.0,False,,,,,49859.0,33004.0,10567.0,0.6301,,,,,,,0.0,,,0.0,0.0,,2010,,
4,01084700,Arizona Automotive Institute,Glendale,1,1,1,3,6.0,,1734.0,False,,,,40920.0,6291.0,1485.0,,,,0.5725,,0.5875,,,0.8096,,0.533596837945,0.355731225296,0.0,13000.0,2010,,40920.0
5,02561900,Brillare Hairdressing Academy,Scottsdale,1,1,1,3,6.0,,252.0,False,,,,23465.0,6997.0,3720.0,,,,0.7534,,0.8772,,,0.7178,,0.754838709677,0.096774193548,0.0,10570.0,2010,,23465.0
6,00945100,Brown Mackie College-Tucson,Tucson,6,2,3,3,6.0,,800.0,False,,16540.0,22010.0,,8551.0,2256.0,4318.0,0.217,0.3409,,0.0,,,,0.8555,,0.243523316062,0.269430051813,,8930.0,2010,16540.0,22010.0
7,01180800,Empire Beauty School-Flagstaff,Flagstaff,3,1,1,3,6.0,,31.0,False,,,,34479.0,9029.0,8215.0,,,,0.5957,,0.6364,,,0.9537,,0.654362416107,0.167785234899,0.0,10556.0,2010,,34479.0
8,01180801,Empire Beauty School-Chandler,Chandler,3,1,1,3,6.0,,138.0,False,,,,35770.0,8294.0,7738.0,,,,0.6582,,0.6957,,0.36,0.9836,,0.654362416107,0.167785234899,0.0,10556.0,2010,,35770.0
9,02263100,Anthem College-Phoenix,Phoenix,7,1,3,3,6.0,,1748.0,False,,,,55995.0,6327.0,3357.0,3442.0,0.0902,0.5736,,0.6204,,,,0.7665,,0.433965348153,0.30173259235,0.007191892775,7895.0,2010,,55995.0
