,OPEID,INSTNM,CITY,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,region,ADM_RATE,UGDS,CURROPER,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTFLOAN,UG25abv,COMP_ORIG_YR4_RT,WDRAW_ORIG_YR4_RT,ENRL_ORIG_YR4_RT,DEBT_MDN,Year,NetPrice,Cost,PREDDEG_N,Governance,EnrollmentBins,TuitionBins,ExpenditureBins,Complete,RetentionFT,RetentionPT
897,00104706,troy university-atlantic region,Norfolk,8,0,0,1,5.0,,986.0,False,2090.5,4392.5,,0.2481,,0.4245,0.171946689972,0.346515184619,0.128031461656,14750.0,2010,14109.5,19036.5,Not classified,Public,,,,0.1481,0.524,
898,00104720,troy university-western region,Colorado Springs,8,0,0,1,7.0,,986.0,False,2090.5,4392.5,,0.2481,,0.4245,0.171946689972,0.346515184619,0.128031461656,14750.0,2010,14109.5,19036.5,Not classified,Public,,,,0.1481,0.524,
1693,00104720,troy university-western region,Colorado Springs,7,0,0,1,7.0,,986.0,False,2090.5,4392.5,,0.2481,,0.4245,0.211538461538,0.324623745819,0.126254180602,15829.0,2011,14109.5,19036.5,Not classified,Public,,,,0.1481,0.524,
899,001047A1,troy university-ecampus,Troy,8,0,0,1,5.0,,986.0,False,2090.5,4392.5,,0.2481,,0.4245,0.171946689972,0.346515184619,0.128031461656,14750.0,2010,14109.5,19036.5,Not classified,Public,,,,0.1481,0.524,
3,00107000,thunderbird school of global management,Glendale,1,1,4,2,6.0,,2.0,False,49859.0,33004.0,10567.0,0.6301,0.0,0.5258,0.604933726068,0.0,0.0,9500.0,2010,14996.0,19623.0,Certificate,Private nonprofit,small,highest,highest,0.75,0.74085,
935,00107000,thunderbird school of global management,Glendale,1,1,4,2,6.0,,2.0,False,56047.0,37532.0,10648.0,0.6912,0.0,0.5,1.0,0.0,0.0,20500.0,2011,14996.0,19623.0,Certificate,Private nonprofit,small,highest,highest,0.75,0.74085,
1729,00107000,thunderbird school of global management,Glendale,2,1,4,2,6.0,,3.0,False,50562.0,42971.0,11502.0,0.6216,0.0,0.5,1.0,0.0,0.0,20500.0,2012,14996.0,19623.0,Certificate,Private nonprofit,small,highest,highest,0.75,0.74085,
2469,00107000,thunderbird school of global management,Glendale,2,1,4,2,6.0,,2.0,False,62758.0,53366.0,10953.0,0.6027,0.0,0.5,1.0,0.0,0.0,6280.0,2013,14996.0,19623.0,Certificate,Private nonprofit,small,highest,highest,0.75,0.74085,
533,00109002,arkansas state university-newport,Newport,3,1,2,1,5.0,,1553.0,False,1829.0,3960.0,4157.0,1.0,0.2602,0.5,0.298323640096,0.261717413616,0.092370851865,12874.0,2010,5258.0,10215.0,Certificate,Public,large,low,med,0.3388,0.6279,0.1429
1385,00109002,arkansas state university-newport,Newport,3,1,2,1,5.0,,1500.0,False,980.0,2350.0,4116.0,1.0,0.17600000000000002,0.324,0.331399097357,0.273372018053,0.068343004513,13000.0,2011,3769.0,8971.0,Certificate,Public,large,low,low,0.3673,0.6111,0.4416
2083,00109002,arkansas state university-newport,Newport,3,1,2,1,5.0,,1300.0,False,1029.0,2333.0,4466.0,1.0,0.1422,0.324,0.344129554656,0.283979178716,0.061596298438,13250.0,2012,4665.0,9497.0,Certificate,Public,large,low,low,0.4141,0.4983,0.3587
7896,00109002,arkansas state university-newport,Newport,1,1,2,1,5.0,,1311.0,True,1872.0,3993.0,4490.0,1.0,0.1757,0.3184,0.344129554656,0.283979178716,0.061596298438,3595.5,2013,4232.0,9282.0,Certificate,Public,large,low,med,0.4457,0.5353,0.4125
20,00112100,bethany university,Scotts Valley,1,3,4,2,8.0,0.6163,361.0,False,11215.0,8981.0,1727.0,0.2941,0.2458,0.3184,0.272727272727,0.145454545455,0.060606060606,11000.0,2010,16129.0,28850.0,Bachelor,Private nonprofit,medium,highest,high,0.4433,0.3699,0.0
321,001164A1,brandman university part of the chapman university system,Irvine,2,3,4,2,8.0,,2897.0,False,11658.0,4313.0,8206.0,0.0801,0.6435,0.3184,0.49418084154,0.26678603402,0.009847806625,15750.0,2010,20391.0,36240.0,Bachelor,Private nonprofit,xl,highest,med,0.54155,0.7528,
903,001280A1,san joaquin general hospital school of radiation technology,French Camp,2,0,0,1,8.0,,986.0,False,2090.5,4392.5,,0.2481,,0.3184,0.045964125561,0.122944693572,0.101270553064,8500.0,2010,14109.5,19036.5,Not classified,Public,,,,0.1481,0.524,
9836,001280A1,san joaquin general hospital school of radiation technology,French Camp,2,0,0,1,8.0,,986.0,True,2090.5,4392.5,,0.2481,,0.3184,0.045964125561,0.122944693572,0.101270553064,6125.0,2013,14109.5,19036.5,Not classified,Public,,,,0.1481,0.524,
925,00145949,strayer university-penn center west campus,Pittsburgh,85,0,0,3,2.0,,156.5,False,8550.5,2898.0,,0.2157,,0.3184,0.16400085306,0.457240349755,0.098101940712,12667.0,2010,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
1713,00145949,strayer university-penn center west campus,Pittsburgh,84,0,0,3,2.0,,156.5,False,8550.5,2898.0,,0.2157,,0.3184,0.146333575875,0.471905570378,0.073409329776,12667.0,2011,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
2376,00145949,strayer university-penn center west campus,Pittsburgh,93,0,0,3,2.0,,156.5,False,8550.5,2898.0,,0.2157,,0.3184,0.112562455389,0.486723768737,0.052962169879,13944.0,2012,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
10107,00145949,strayer university-penn center west campus,Pittsburgh,99,0,0,3,2.0,,156.5,False,8550.5,2898.0,,0.2157,,0.3184,0.112562455389,0.486723768737,0.052962169879,12500.0,2013,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
758,00145955,strayer university-kentucky,Lexington,85,3,4,3,5.0,,960.0,False,11172.0,653.0,6466.0,0.1724,0.8172,0.3184,0.16400085306,0.457240349755,0.098101940712,12667.0,2010,34252.0,34752.0,Bachelor,Private for-profit,large,highest,low,0.207,0.0,0.3306
1547,00145955,strayer university-kentucky,Lexington,84,3,4,3,5.0,,746.0,False,17388.0,1840.0,5919.0,0.1224,0.8616,0.83,0.146333575875,0.471905570378,0.073409329776,12667.0,2011,29061.0,31329.0,Bachelor,Private for-profit,large,highest,low,0.207,0.0,0.3077
2214,00145955,strayer university-kentucky,Lexington,93,3,4,3,5.0,,566.0,False,16272.0,1925.0,4870.0,0.1429,0.3109,0.83,0.112562455389,0.486723768737,0.052962169879,13944.0,2012,29524.0,31374.0,Bachelor,Private for-profit,large,highest,low,0.207,0.0,0.1176
8671,00145955,strayer university-kentucky,Lexington,99,3,4,3,5.0,,424.0,False,15523.0,2111.0,6639.0,0.1389,0.8339,0.8443,0.112562455389,0.486723768737,0.052962169879,12500.0,2013,29316.0,32554.0,Bachelor,Private for-profit,medium,highest,low,0.207,0.0,0.2632
926,00145956,strayer university-louisville campus,Louisville,85,0,0,3,5.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8443,0.16400085306,0.457240349755,0.098101940712,12667.0,2010,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
1715,00145956,strayer university-louisville campus,Louisville,84,0,0,3,5.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8443,0.146333575875,0.471905570378,0.073409329776,12667.0,2011,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
2378,00145956,strayer university-louisville campus,Louisville,93,0,0,3,5.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8443,0.112562455389,0.486723768737,0.052962169879,13944.0,2012,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
10137,00145956,strayer university-louisville campus,Louisville,99,0,0,3,5.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8443,0.112562455389,0.486723768737,0.052962169879,12500.0,2013,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
807,00145975,strayer university-utah,Sandy,85,3,4,3,7.0,,114.0,False,9431.0,496.0,7158.0,0.2,0.746,0.8443,0.16400085306,0.457240349755,0.098101940712,12667.0,2010,31374.0,31374.0,Bachelor,Private for-profit,small,high,low,0.207,0.3095,0.2153
1577,00145975,strayer university-utah,Sandy,84,3,4,3,7.0,,126.0,False,13782.0,1262.0,5474.0,0.04,0.8065,0.8809999999999999,0.146333575875,0.471905570378,0.073409329776,12667.0,2011,31374.0,31374.0,Bachelor,Private for-profit,small,highest,low,0.207,0.3095,0.3636
2233,00145975,strayer university-utah,Sandy,93,3,4,3,7.0,,97.0,False,17595.0,1959.0,4583.0,0.04,0.3793,0.8809999999999999,0.112562455389,0.486723768737,0.052962169879,13944.0,2012,31374.0,31374.0,Bachelor,Private for-profit,small,highest,low,0.207,0.0,0.125
8874,00145975,strayer university-utah,Sandy,99,3,4,3,7.0,,70.0,False,18621.0,2342.0,6111.0,0.04,0.8119,0.9718,0.112562455389,0.486723768737,0.052962169879,12500.0,2013,27054.0,32554.0,Bachelor,Private for-profit,small,highest,low,0.207,0.0,0.4444
